"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc33","NADH","ng_07","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc33","NADH","ng_07","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc34","NADP+","ng_07","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc34","NADP+","ng_07","t2","TrueBlank",NA,3,"20181217",0,"709765.6%"
"nuc34","NADP+","ng_07","t12","TrueBlank",NA,3,"20181217",0,"789298.1%"
"nuc35","NADPH","ng_07","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc35","NADPH","ng_07","t2","TrueBlank",NA,3,"20181217",0,"530557.1%"
"nuc35","NADPH","ng_07","t12","TrueBlank",NA,3,"20181217",0,"2327949.3%"
"nuc36","AcCoA","ng_06","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc36","AcCoA","ng_06","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc36","AcCoA","ng_06","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t1","A",10,1,"20181217",4575,"8.2%"
"nuc01","dCMP","ng_01","t2","A",10,1,"20181217",1336,"15.1%"
"nuc01","dCMP","ng_01","t12","A",10,1,"20181217",5982,"7.4%"
"nuc02","dUMP","ng_02","t1","A",10,1,"20181217",2467,"11%"
"nuc02","dUMP","ng_02","t2","A",10,1,"20181217",5536,"8.1%"
"nuc02","dUMP","ng_02","t12","A",10,1,"20181217",8016,"6.7%"
"nuc03","dTMP","ng_03","t1","A",10,1,"20181217",127325,"4.3%"
"nuc03","dTMP","ng_03","t2","A",10,1,"20181217",333818,"4.2%"
"nuc03","dTMP","ng_03","t12","A",10,1,"20181217",460012,"4.1%"
"nuc04","CMP","ng_01","t1","A",10,1,"20181217",30249,"4.8%"
"nuc04","CMP","ng_01","t2","A",10,1,"20181217",6646,"6.6%"
"nuc04","CMP","ng_01","t12","A",10,1,"20181217",36874,"4.5%"
"nuc05","UMP","ng_02","t1","A",10,1,"20181217",12548,"7.2%"
"nuc05","UMP","ng_02","t2","A",10,1,"20181217",4641,"9%"
"nuc05","UMP","ng_02","t12","A",10,1,"20181217",17198,"6.2%"
"nuc06","cAMP","ng_06","t1","A",10,1,"20181217",31578,"4.7%"
"nuc06","cAMP","ng_06","t2","A",10,1,"20181217",335704,"3.6%"
"nuc06","cAMP","ng_06","t12","A",10,1,"20181217",366749,"3.5%"
"nuc07","dAMP","ng_04","t1","A",10,1,"20181217",42736,"4.2%"
"nuc07","dAMP","ng_04","t2","A",10,1,"20181217",7607,"6.6%"
"nuc07","dAMP","ng_04","t12","A",10,1,"20181217",50729,"4.1%"
"nuc08","AMP","ng_04","t1","A",10,1,"20181217",3154,"9.5%"
"nuc08","AMP","ng_04","t2","A",10,1,"20181217",15496,"7.1%"
"nuc08","AMP","ng_04","t12","A",10,1,"20181217",18565,"6.8%"
"nuc09","dGMP","ng_05","t1","A",10,1,"20181217",75677,"5.8%"
"nuc09","dGMP","ng_05","t2","A",10,1,"20181217",10623,"7.4%"
"nuc09","dGMP","ng_05","t12","A",10,1,"20181217",86034,"5.7%"
"nuc10","IMP","ng_06","t1","A",10,1,"20181217",2859,"9.9%"
"nuc10","IMP","ng_06","t2","A",10,1,"20181217",1753,"13.2%"
"nuc10","IMP","ng_06","t12","A",10,1,"20181217",4596,"9.1%"
"nuc11","GMP","ng_05","t1","A",10,1,"20181217",3397,"9.7%"
"nuc11","GMP","ng_05","t2","A",10,1,"20181217",2985,"10.9%"
"nuc11","GMP","ng_05","t12","A",10,1,"20181217",6430,"8%"
"nuc12","dCDP","ng_01","t1","A",10,1,"20181217",71590,"5.7%"
"nuc12","dCDP","ng_01","t2","A",10,1,"20181217",11742,"8%"
"nuc12","dCDP","ng_01","t12","A",10,1,"20181217",83401,"5.7%"
"nuc13","dUDP","ng_02","t1","A",10,1,"20181217",44015,"4.8%"
"nuc13","dUDP","ng_02","t2","A",10,1,"20181217",12196,"6%"
"nuc13","dUDP","ng_02","t12","A",10,1,"20181217",56340,"4.4%"
"nuc14","dTDP","ng_03","t1","A",10,1,"20181217",1272790,"3.2%"
"nuc14","dTDP","ng_03","t2","A",10,1,"20181217",572169,"3.3%"
"nuc14","dTDP","ng_03","t12","A",10,1,"20181217",1846364,"3.1%"
"nuc15","CDP","ng_01","t1","A",10,1,"20181217",204436,"4.8%"
"nuc15","CDP","ng_01","t2","A",10,1,"20181217",12915,"7.6%"
"nuc15","CDP","ng_01","t12","A",10,1,"20181217",217689,"4.8%"
"nuc16","UDP","ng_02","t1","A",10,1,"20181217",143399,"5.4%"
"nuc16","UDP","ng_02","t2","A",10,1,"20181217",53371,"5.8%"
"nuc16","UDP","ng_02","t12","A",10,1,"20181217",196611,"5.2%"
