"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"B",15,2,14311,"41.3%",2,"20181217",5
"B",15,12,249347,"39.2%",2,"20181217",5
"B",16,1,148124,"39.1%",2,"20181217",5
"B",16,2,46220,"40.9%",2,"20181217",5
"B",16,12,196384,"39.1%",2,"20181217",5
"B",17,1,71021,"40.9%",2,"20181217",5
"B",17,2,18238,"41.7%",2,"20181217",5
"B",17,12,90041,"40.7%",2,"20181217",5
"B",18,1,238319,"39%",2,"20181217",5
"B",18,2,359086,"39.7%",2,"20181217",5
"B",18,12,602247,"39.1%",2,"20181217",5
"B",19,1,379203,"39.8%",2,"20181217",5
"B",19,2,25885,"41.3%",2,"20181217",5
"B",19,12,405449,"39.9%",2,"20181217",5
"B",20,1,141223,"41.1%",2,"20181217",5
"B",20,2,223228,"41.3%",2,"20181217",5
"B",20,12,364584,"41.2%",2,"20181217",5
"B",21,1,221069,"40.4%",2,"20181217",5
"B",21,2,41440,"40%",2,"20181217",5
"B",21,12,263634,"40.2%",2,"20181217",5
"B",22,1,681686,"40.7%",2,"20181217",5
"B",22,2,44004,"40.2%",2,"20181217",5
"B",22,12,728017,"40.5%",2,"20181217",5
"B",23,1,256047,"40.7%",2,"20181217",5
"B",23,2,208600,"40.1%",2,"20181217",5
"B",23,12,472064,"39.7%",2,"20181217",5
"B",24,1,265248,"39%",2,"20181217",5
"B",24,2,62142,"39.8%",2,"20181217",5
"B",24,12,328238,"38.7%",2,"20181217",5
"B",25,1,350514,"39.1%",2,"20181217",5
"B",25,2,49506,"38.2%",2,"20181217",5
"B",25,12,400006,"38.8%",2,"20181217",5
"B",26,1,592041,"39%",2,"20181217",5
"B",26,2,541723,"39%",2,"20181217",5
"B",26,12,1130198,"38.5%",2,"20181217",5
"B",27,1,516458,"39.3%",2,"20181217",5
"B",27,2,44992,"39.1%",2,"20181217",5
"B",27,12,561918,"39.2%",2,"20181217",5
"B",28,1,1562,"44%",2,"20181217",5
"B",28,2,570,"49.8%",2,"20181217",5
"B",28,12,2158,"43.8%",2,"20181217",5
"B",29,1,2222,"42%",2,"20181217",5
"B",29,2,44850,"38.5%",2,"20181217",5
"B",29,12,46932,"38.7%",2,"20181217",5
"B",30,1,11512,"39.4%",2,"20181217",5
"B",30,2,21016,"39.8%",2,"20181217",5
"B",30,12,32680,"39.3%",2,"20181217",5
"B",31,1,9009,"39.6%",2,"20181217",5
"B",31,2,16793,"39.6%",2,"20181217",5
"B",31,12,26478,"38.4%",2,"20181217",5
"B",32,1,1776,"44.5%",2,"20181217",5
"B",32,2,18191,"40.5%",2,"20181217",5
"B",32,12,20046,"40.4%",2,"20181217",5
"B",33,1,15476,"40.4%",2,"20181217",5
"B",33,2,14961,"41.3%",2,"20181217",5
"B",33,12,30129,"40.8%",2,"20181217",5
"B",34,1,39872,"39.4%",2,"20181217",5
"B",34,2,448411,"39.2%",2,"20181217",5
"B",34,12,488332,"39.1%",2,"20181217",5
"B",35,1,27570,"40.8%",2,"20181217",5
"B",35,2,19831,"39.7%",2,"20181217",5
"B",35,12,47560,"40.1%",2,"20181217",5
"B",36,1,146489,"39.2%",2,"20181217",5
"B",36,2,99503,"39.1%",2,"20181217",5
"B",36,12,246959,"39%",2,"20181217",5
"B",1,1,3536,"57.1%",3,"20181217",5
"B",1,2,1679,"57.6%",3,"20181217",5
"B",1,12,5306,"56%",3,"20181217",5
"B",2,1,4751,"52.7%",3,"20181217",5
"B",2,2,11943,"52.1%",3,"20181217",5
"B",2,12,16809,"51.8%",3,"20181217",5
"B",3,1,180012,"52%",3,"20181217",5
"B",3,2,471641,"51.3%",3,"20181217",5
"B",3,12,654102,"51.3%",3,"20181217",5
"B",4,1,39650,"53.6%",3,"20181217",5
"B",4,2,9108,"52.8%",3,"20181217",5
"B",4,12,49750,"52.4%",3,"20181217",5
"B",5,1,14364,"52.4%",3,"20181217",5
"B",5,2,5954,"51.4%",3,"20181217",5
"B",5,12,20353,"51.9%",3,"20181217",5
"B",6,1,28450,"47.6%",3,"20181217",5
